,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
273,237840,SD,663851,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",3744.0,26.0
274,237840,SD,663852,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",1120.0,4.307692
275,237840,SD,663852,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",2600.0,10.0
276,237840,SD,663852,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",1040.0,4.0
277,237840,SD,663853,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",864.0,6.0
278,237840,SD,663853,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",520.0,2.0
279,232169,SD,175995,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",1300.0,26.0
280,232169,SD,175996,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",1300.0,26.0
281,242156,SD,175974,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",1224.0,17.0
282,242156,SD,175974,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",236.0,3.933333
283,242156,SD,663412,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",24.0,0.166667
284,242156,SD,663907,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",30.0,0.208333
285,242156,SD,663908,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",600.0,4.166667
286,242156,SD,663925,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",80.0,0.307692
287,242156,SD,663925,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",20.0,0.138889
288,242156,SD,663926,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",3.0,0.011538
289,307199,SD,175850,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",72.0,1.0
290,307199,SD,663667,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",8.0,0.1
291,307199,SD,663667,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",48.0,0.6
292,307199,SD,663667,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",60.0,0.230769
293,307199,SD,663667,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",68.0,0.25
294,307199,SD,663667,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",496.0,6.2
295,307199,SD,663667,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",6.0,0.075
296,307199,SD,663667,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",2.0,0.025
297,232571,SD,175697,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",32.0,0.142857
298,338653,SD,175946,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",20.0,0.108108
299,338653,SD,175946,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",20.0,0.125
