,Depósito Padre,SKU,Descripción,Lote,Fecha de Vencimiento,Dias al Vencimiento,cajas_x_pallets,Cajas Disponibles
527,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",191022                        ,10/18/2024,247,60,0.0
528,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",201222                        ,12/19/2024,309,60,0.0
529,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",250723                        ,7/24/2025,526,60,0.0
530,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",250823                        ,8/25/2025,558,60,6900.0
531,    CDCDCO1,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",270223                        ,2/27/2025,379,60,0.0
532,    CDCDCO1,6010040111               ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",010123                        ,1/2/2025,323,105,0.0
533,    CDCDCO1,6010040111               ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",040423                        ,4/4/2025,415,105,0.0
534,    CDCDCO1,6010040111               ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",041023                        ,10/10/2025,604,105,0.0
535,    CDCDCO1,6010040111               ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",150123                        ,1/14/2025,335,105,0.0
536,    CDCDCO1,6010040111               ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",160423                        ,4/15/2025,426,105,0.0
537,    CDCDCO1,6010040111               ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",181123                        ,11/17/2025,642,105,4950.0
538,    CDCDCO1,6010040111               ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",300922                        ,9/30/2024,229,105,0.0
539,    CDCDCO1,6010140007               ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",257/23                        ,9/13/2025,577,224,199.0
540,    CDCDCO1,6010140007               ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",284/22                        ,10/10/2024,239,224,0.0
541,    CDCDCO1,6010140008               ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",208/22                        ,7/26/2024,163,224,0.0
542,    CDCDCO1,6010140008               ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",259/23                        ,9/15/2025,579,224,224.0
543,    CDCDCO1,6010140008               ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",287/22                        ,10/13/2024,242,224,83.0
544,    CDCDCO1,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",201/23                        ,7/19/2025,521,224,0.0
545,    CDCDCO1,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224/22                        ,8/11/2024,179,224,0.0
546,    CDCDCO1,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",229/22                        ,8/16/2024,184,224,0.0
547,    CDCDCO1,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",236/23                        ,8/23/2025,556,224,1.0
548,    CDCDCO1,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",263/22                        ,9/19/2024,218,224,0.0
549,    CDCDCO1,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",267/22                        ,9/23/2024,222,224,0.0
550,    CDCDCO1,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",270/23                        ,9/26/2025,590,224,1792.0
551,    CDCDCO1,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",271/23                        ,9/27/2025,591,224,224.0
552,    CDCDCO1,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",291/23                        ,10/17/2025,611,224,672.0
553,    CDCDCO1,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",292/23                        ,10/18/2025,612,224,224.0
